CentralIllinois;ILPE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2;;;;;;;;;;;;
81;-0.01;-0.08;0.26;-0.16;0.06;-0.01;0.10;0.60;-1.30;0.34;-0.10;0.98;;0.26;0.38;0.23;0.43;0.28;0.29;0.54;-0.17;0.13;-0.05;-0.04;4.17;1.47;3.54;-0.84;8.67;8.94;-0.29;0.80;-0.78;0.11;0.43;13.27;2.14;18.81;15.00;;;;;;;;;;;;
93;0.00;-0.05;0.46;1.12;1.18;0.07;0.36;0.66;1.93;-0.32;0.60;0.96;;0.33;0.39;1.47;0.56;0.66;0.41;0.41;-0.19;0.50;0.35;0.07;7.91;0.30;8.13;-0.52;23.01;9.46;6.52;5.73;1.30;1.23;2.86;33.79;2.70;44.23;42.55;;;;;;;;;;;;
111;0.00;0.71;0.38;1.34;2.43;-0.03;0.30;0.72;0.08;0.63;0.72;0.57;;0.71;0.49;0.87;0.53;0.69;0.52;0.62;-0.19;-0.33;-0.01;-0.07;8.81;-0.30;2.06;7.05;23.93;14.38;7.45;3.27;-1.17;0.58;-2.00;30.75;3.08;46.06;36.08;;;;;;;;;;;;
876;0.02;-0.22;-0.27;2.95;2.48;0.05;0.40;0.61;1.26;0.00;0.63;0.78;;0.13;0.90;1.03;0.36;0.67;0.47;0.79;-0.32;-0.01;0.01;-0.08;6.02;0.59;7.48;-2.05;35.89;10.72;14.22;1.55;9.40;0.94;-0.47;41.44;2.89;56.43;50.57;;;;;;;;;;;;
1038;0.08;-0.18;0.48;0.73;0.99;-0.07;0.12;0.74;0.22;0.81;0.68;0.32;;-0.18;0.71;0.04;0.62;0.51;-0.15;0.72;-0.15;-0.32;0.11;0.27;-3.75;0.99;-3.32;-1.42;19.68;13.93;4.60;1.78;-0.63;0.31;-0.24;15.69;2.45;24.93;16.42;;;;;;;;;;;;
1091;-0.05;-0.01;0.35;0.42;0.56;-0.08;0.13;0.71;0.45;-0.23;0.72;0.10;;0.46;0.74;0.12;0.17;0.37;0.20;0.68;0.14;0.26;0.15;0.09;4.78;0.51;4.64;-0.37;15.92;8.31;2.80;3.68;1.14;0.81;1.72;22.42;2.12;29.48;23.00;;;;;;;;;;;;
1094;0.10;0.08;1.41;-0.26;1.42;0.09;0.48;0.82;1.17;0.93;0.28;0.58;;0.41;0.54;0.99;1.00;0.74;-0.08;0.52;0.42;0.43;-0.08;-0.09;8.14;0.52;6.32;1.29;27.94;11.81;1.53;4.02;10.58;1.51;1.70;37.77;3.00;49.69;49.58;;;;;;;;;;;;
1625;0.00;0.34;0.40;2.75;3.35;0.34;0.28;0.77;0.25;0.75;0.72;0.68;;-0.21;0.72;0.65;0.57;0.71;-0.13;0.78;0.01;1.01;0.14;-0.11;11.95;0.47;8.06;3.41;29.13;9.44;14.54;5.81;-0.65;1.12;4.53;45.61;2.69;62.81;59.91;;;;;;;;;;;;
1732;0.00;0.05;-0.12;1.70;1.65;0.08;0.06;0.47;0.32;0.09;0.72;1.49;;0.94;0.22;1.05;0.11;0.78;0.33;0.34;-0.06;0.10;-0.02;0.03;7.97;0.31;7.18;0.49;19.31;6.53;8.28;1.42;3.08;0.49;0.69;27.97;2.02;38.20;31.15;;;;;;;;;;;;
1736;0.39;0.06;3.59;-0.01;3.98;0.34;0.50;0.73;0.65;0.83;0.73;0.64;;0.39;0.66;1.14;0.81;0.73;0.16;0.66;-0.22;0.93;0.05;-0.02;16.50;-0.51;14.44;2.57;20.75;8.19;7.14;3.25;2.18;0.79;4.53;41.79;3.08;61.93;60.26;;;;;;;;;;;;
