team;event;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR 1;eOPR2
1;MIKetteringUniversity1;0.00;0.00;-0.08;1.11;0.97;0.00;0.11;0.65;-0.18;0.35;0.25;0.75;-0.04;0.52;0.68;0.70;0.11;0.51;0.22;0.68;-0.01;-0.01;0.06;-0.04;2.59;0.99;1.60;0.01;19.64;9.99;5.39;5.05;-0.79;0.96;-0.24;21.99;2.16;30.41;24.26
1;MIMarysville;0.00;0.05;-0.32;0.74;0.22;-0.08;0.23;0.68;;0.12;0.51;0.31;0.53;0.69;0.32;0.67;0.16;0.41;0.66;0.43;-0.12;0.17;0.25;0.01;10.37;0.22;9.62;0.53;12.11;6.85;3.04;2.75;-0.53;0.51;0.90;23.38;2.33;29.89;26.07
4;Ventura;0.03;0.01;0.73;-0.24;0.57;0.04;0.46;0.61;0.59;1.18;0.49;-0.03;;0.99;0.83;1.11;0.96;0.44;0.91;0.82;0.21;-0.03;-0.03;0.06;9.36;0.52;8.59;0.26;24.19;14.37;0.28;2.20;7.34;0.93;0.11;33.67;3.73;44.78;44.03
4;LosAngeles;0.00;-0.03;0.06;0.09;-0.04;0.00;0.27;0.51;0.52;-0.17;2.57;-0.04;-0.51;0.05;0.78;;1.05;0.47;0.13;0.82;0.68;0.58;0.16;0.06;6.94;0.50;6.69;-0.26;17.78;11.55;0.55;2.73;2.95;0.74;3.19;27.91;2.98;35.24;33.34
8;SiliconValley;0.00;-0.03;1.41;0.56;1.92;0.07;0.30;0.78;;1.29;;0.67;;0.54;0.30;;1.15;0.66;0.25;0.45;-0.29;0.13;0.03;0.11;4.23;0.62;3.86;-0.26;27.45;14.55;5.64;3.50;3.75;0.95;1.17;32.85;3.30;47.08;40.52
8;CentralValley;0.00;0.19;-0.46;-0.05;-0.33;0.03;0.15;0.47;;0.21;1.17;0.50;0.89;-0.53;0.47;;0.21;0.66;0.08;0.56;-0.09;0.21;0.01;0.04;5.31;0.05;3.38;1.88;9.14;8.23;-1.18;2.68;-0.59;0.50;1.27;15.72;1.98;19.63;19.46
11;MARSpringsideChestnutHill;0.00;0.05;1.91;0.88;2.91;-0.02;0.40;0.74;;0.90;0.69;0.31;-0.08;0.67;0.68;0.67;0.97;0.55;0.49;0.67;0.07;0.22;-0.07;-0.11;8.77;0.23;7.99;0.55;24.68;13.13;8.20;3.41;-0.06;0.68;0.55;34.01;3.43;51.65;41.56
11;SouthFlorida;-0.02;0.19;1.91;0.66;2.78;-0.03;0.57;0.68;;1.25;0.62;0.33;;-0.18;0.89;-2.07;1.22;0.56;0.18;0.75;0.02;-0.30;-0.04;0.20;8.12;0.58;5.74;1.80;24.74;14.09;7.11;3.25;0.30;0.67;-0.53;32.34;3.39;49.51;43.06
11;MARDistrictChampionship;0.11;0.09;0.85;1.56;2.28;0.09;0.22;0.68;;0.43;0.71;0.62;;-0.18;0.68;;0.53;0.69;-0.11;0.68;0.24;0.07;0.33;0.24;8.77;0.59;6.76;1.42;23.67;8.96;9.49;4.42;0.79;0.94;1.55;33.98;2.47;47.28;40.64
11;MARMt.Olive;0.00;0.08;1.13;0.42;1.74;0.06;0.56;0.90;;1.16;0.76;0.35;;1.37;0.99;;1.02;0.61;1.47;0.92;-0.09;0.52;-0.11;0.03;10.37;0.60;8.97;0.80;29.20;20.09;4.34;5.88;-1.10;1.10;2.74;42.31;4.91;60.02;54.99
16;RocketCity;0.00;0.18;4.22;1.26;5.68;0.64;0.45;0.74;0.98;0.07;0.81;0.79;;0.82;0.70;;0.33;0.76;0.57;0.75;-0.12;0.55;-0.03;-0.08;13.43;-0.48;12.15;1.75;39.26;9.66;14.74;1.72;13.15;1.22;2.34;55.02;3.15;80.65;80.00
16;ArkansasRockCity;0.00;0.01;2.50;2.02;4.63;0.34;0.79;0.81;0.62;0.37;1.02;0.96;;1.53;1.25;1.47;0.10;1.00;1.52;0.92;0.04;0.12;-0.10;0.00;10.57;0.13;10.35;0.09;47.18;16.76;15.10;3.24;12.08;1.45;0.60;58.35;4.39;83.78;82.54
20;FingerLakes;0.07;-0.07;3.30;1.14;4.44;0.36;0.48;0.71;;0.55;0.80;0.92;;-0.30;0.80;;0.78;0.88;-0.24;0.78;0.55;0.41;-0.01;0.20;9.97;0.01;10.30;-0.34;26.34;9.39;12.29;6.54;-1.88;1.18;3.06;39.37;2.91;60.52;57.86
20;NewYorkTechValley;0.00;0.12;2.12;-0.05;2.14;-0.02;0.44;0.57;;0.70;0.87;1.04;-0.08;0.33;0.95;0.74;0.83;0.78;0.15;0.81;-0.10;0.17;0.06;0.05;8.68;0.46;6.99;1.23;18.66;12.22;4.02;4.09;-1.67;0.71;1.12;28.46;3.14;43.01;36.77
21;SouthFlorida;0.01;-0.01;0.88;0.30;1.21;0.12;0.32;0.41;;0.45;0.60;0.55;;1.34;0.50;8.22;0.07;0.73;1.31;0.60;-0.55;0.01;-0.02;-0.04;5.00;1.19;3.84;-0.03;29.56;13.70;3.27;3.12;9.47;1.26;-0.18;34.37;3.12;45.96;43.88
21;Orlando;-0.02;-0.04;0.54;0.15;0.74;-0.01;0.29;0.49;;0.57;0.70;0.46;;0.23;0.90;;0.60;0.73;0.31;0.84;0.20;1.04;-0.10;0.23;2.62;1.75;1.35;-0.47;28.54;14.21;1.83;1.61;10.89;1.05;6.39;37.54;2.98;47.29;43.08
25;MARDistrictChampionship;0.23;0.16;5.89;-0.20;5.93;0.40;0.41;0.72;;0.74;0.79;0.85;;1.24;0.70;;0.79;0.72;0.64;0.71;0.24;1.18;0.15;0.11;13.75;-0.17;11.21;2.72;39.22;12.33;10.79;-0.24;16.34;1.04;6.45;59.42;3.59;86.91;77.49
25;MARBridgewaterRaritan;0.39;-0.08;5.17;0.39;5.57;0.54;0.45;0.80;;1.28;0.48;0.90;;0.04;0.70;-7.00;1.19;0.79;0.01;0.66;0.11;0.94;0.29;0.15;9.53;0.68;7.74;1.12;40.98;13.47;12.29;2.03;13.20;1.29;5.44;55.96;3.47;82.04;78.47
25;MARHatboroHorsham;0.42;0.00;5.02;-0.02;5.38;0.25;0.59;0.75;1.95;0.94;1.15;0.90;0.65;-0.06;1.17;0.78;1.15;1.05;0.02;0.68;-0.09;0.43;0.04;-0.06;9.77;0.45;7.23;2.09;30.72;14.69;9.93;3.69;2.41;0.90;1.87;42.36;3.66;68.31;60.23
27;MIStateChampionship;-0.06;0.31;-1.21;5.27;4.20;0.39;0.23;0.65;;0.56;0.70;0.71;;0.57;0.71;0.63;0.57;0.67;0.51;0.68;-0.21;-0.47;0.11;-0.07;13.62;-0.03;10.85;2.80;42.08;10.04;23.94;4.50;3.60;1.14;-2.71;52.99;3.09;73.87;67.35
27;MIWoodhaven;0.01;0.14;-0.98;4.59;3.84;0.29;0.43;0.58;0.67;0.38;0.90;1.37;1.41;0.82;0.80;0.58;0.36;0.87;1.10;0.69;-0.32;0.12;-0.07;0.21;12.03;0.15;10.39;1.49;36.97;12.82;21.01;4.59;-1.45;0.82;1.69;50.69;3.60;71.69;66.43
