MICenterLine;MICEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
team;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR1;eOPR2;;;;;;;;;;;;
123;-0.03;0.00;3.31;0.22;3.27;0.16;0.19;0.74;;0.53;0.50;1.14;;-0.02;0.74;0.70;0.63;0.64;-0.02;0.81;0.06;0.34;0.23;0.03;11.05;0.25;10.92;-0.12;20.05;8.52;7.69;5.19;-1.36;0.95;1.84;32.94;2.80;50.15;40.72;;;;;;;;;;;;
245;0.00;0.00;0.38;1.80;2.20;0.05;0.14;0.40;;0.14;0.75;1.26;;1.01;0.47;0.70;0.32;0.78;0.60;0.77;-0.21;0.04;-0.02;0.16;7.48;0.48;6.96;0.03;20.56;10.85;9.74;2.23;-2.26;0.30;1.02;29.06;2.87;43.09;33.06;;;;;;;;;;;;
280;-0.04;0.00;0.52;0.13;0.59;-0.02;0.04;0.28;;0.25;1.04;0.99;;0.56;0.46;0.81;0.38;0.97;0.03;0.52;-0.02;-0.14;0.02;-0.01;7.79;0.92;7.11;-0.24;17.91;7.37;1.70;3.17;5.66;1.01;-0.77;24.93;2.19;32.24;25.30;;;;;;;;;;;;
453;-0.02;0.05;0.11;0.04;0.07;0.00;0.53;0.66;;1.10;0.86;0.62;;0.57;0.80;0.75;0.97;0.75;0.38;0.70;-0.02;0.04;0.11;-0.06;6.74;0.54;5.82;0.37;21.34;14.41;0.43;7.42;-0.93;1.42;-0.10;27.97;3.46;36.85;38.45;;;;;;;;;;;;
503;-0.02;-0.01;2.72;-0.13;2.46;0.07;-0.02;0.71;;0.24;0.69;-0.22;;-0.04;0.64;0.64;0.09;0.53;0.13;0.71;0.34;-0.04;0.10;0.16;5.76;0.64;5.26;-0.14;20.76;8.22;4.78;3.57;4.19;0.99;0.61;27.13;2.17;40.25;28.57;;;;;;;;;;;;
815;0.00;-0.03;-0.33;0.16;-0.45;0.00;0.27;0.42;;0.59;0.37;0.75;;0.78;0.68;0.25;0.56;0.47;0.86;0.54;-0.04;0.20;0.26;-0.08;1.22;1.48;0.01;-0.26;20.70;14.25;0.15;4.01;2.29;0.96;0.62;22.54;2.85;28.25;28.10;;;;;;;;;;;;
818;-0.01;0.03;1.83;0.05;1.87;-0.03;0.71;1.01;;1.31;1.13;0.44;;0.76;1.20;0.49;1.31;1.07;0.16;0.81;-0.11;0.43;0.03;-0.10;6.54;0.09;6.22;0.22;29.09;18.69;3.91;5.44;1.04;1.16;1.63;37.25;4.36;54.00;50.83;;;;;;;;;;;;
910;-0.02;-0.03;-0.20;0.51;0.31;-0.05;0.12;0.35;;0.76;0.74;0.51;;0.07;0.20;0.61;0.54;0.77;0.34;0.46;-0.25;0.15;-0.05;0.10;3.44;-0.20;4.05;-0.42;14.60;10.28;2.16;0.54;1.62;0.22;1.26;19.30;2.46;26.42;20.34;;;;;;;;;;;;
1189;0.06;0.50;0.25;2.04;2.76;-0.01;0.27;0.34;;1.21;0.75;0.17;;-0.19;0.63;0.65;1.13;0.43;-0.09;0.78;0.18;-0.35;0.09;0.15;7.54;-0.28;2.52;5.29;26.77;11.62;10.70;4.64;-0.19;0.91;-1.00;33.31;2.58;48.39;38.67;;;;;;;;;;;;
1481;0.02;0.00;4.48;0.01;4.35;0.15;0.65;0.76;;1.05;0.90;1.14;;0.06;1.14;0.60;0.97;0.86;0.08;0.91;-0.02;0.52;0.17;0.12;10.77;0.03;10.59;0.15;28.56;12.59;9.00;4.87;2.10;1.11;3.21;42.54;3.58;65.06;59.15;;;;;;;;;;;;
